platform,user_score,na_sales,eu_sales,jp_sales,other_sales,total_sales
x360,8.0,16840.0,10230.0,470.0,2800.0,30340.0
x360,8.1,28910.0,10370.0,470.0,3690.0,43440.0
x360,8.2,17340.0,7250.0,500.0,2370.0,27460.0
x360,8.3,19140.0,8260.0,380.0,2780.0,30560.0
x360,8.4,17330.0,8310.0,380.0,2690.0,28710.0
x360,8.5,13350.0,5830.0,240.0,1880.0,21300.0
x360,8.6,9280.0,3970.0,130.0,1330.0,14710.0
x360,8.7,11640.0,4750.0,280.0,1640.0,18310.0
x360,8.8,5150.0,1630.0,100.0,680.0,7560.0
x360,8.9,4840.0,2220.0,100.0,730.0,7890.0
x360,8.95,0.0,0.0,60.0,0.0,60.0
x360,9.0,3800.0,1950.0,90.0,590.0,6430.0
xb,0.5,80.0,20.0,0.0,0.0,100.0
xb,1.2,20.0,10.0,0.0,0.0,30.0
xb,1.5,50.0,10.0,0.0,0.0,60.0
xb,2.0,120.0,30.0,0.0,10.0,160.0
xb,2.4,230.0,70.0,0.0,10.0,310.0
xb,2.5,50.0,10.0,0.0,0.0,60.0
xb,2.7,40.0,10.0,0.0,0.0,50.0
xb,2.8,270.0,70.0,0.0,10.0,350.0
xb,3.0,120.0,30.0,0.0,10.0,160.0
xb,3.4,90.0,30.0,0.0,0.0,120.0
xb,3.6,140.0,30.0,0.0,0.0,170.0
xb,3.7,30.0,10.0,0.0,0.0,40.0
xb,4.0,180.0,50.0,0.0,0.0,230.0
xb,4.1,150.0,50.0,30.0,0.0,230.0
xb,4.3,540.0,150.0,0.0,30.0,720.0
xb,4.4,220.0,60.0,0.0,10.0,290.0
xb,4.5,100.0,20.0,0.0,0.0,120.0
xb,4.6,160.0,40.0,0.0,0.0,200.0
xb,4.7,530.0,430.0,0.0,30.0,990.0
xb,4.8,70.0,20.0,0.0,0.0,90.0
xb,5.0,300.0,90.0,0.0,10.0,400.0
xb,5.1,1270.0,580.0,0.0,80.0,1930.0
xb,5.2,1070.0,270.0,20.0,50.0,1410.0
xb,5.3,440.0,110.0,0.0,20.0,570.0
xb,5.4,360.0,140.0,0.0,10.0,510.0
xb,5.5,390.0,110.0,0.0,20.0,520.0
xb,5.6,200.0,60.0,0.0,0.0,260.0
xb,5.7,660.0,340.0,0.0,30.0,1030.0
xb,5.8,1240.0,500.0,0.0,60.0,1800.0
xb,5.88,150.0,40.0,0.0,10.0,200.0
xb,5.9,1300.0,390.0,0.0,70.0,1760.0
xb,6.0,820.0,280.0,0.0,30.0,1130.0
xb,6.1,1610.0,570.0,0.0,90.0,2270.0
xb,6.17,110.0,40.0,0.0,10.0,160.0
xb,6.2,610.0,170.0,0.0,30.0,810.0
xb,6.25,480.0,160.0,0.0,20.0,660.0
xb,6.3,340.0,110.0,0.0,20.0,470.0
xb,6.35,70.0,20.0,0.0,0.0,90.0
xb,6.4,1800.0,310.0,0.0,90.0,2200.0
xb,6.45,70.0,20.0,0.0,0.0,90.0
xb,6.5,1300.0,430.0,0.0,60.0,1790.0
xb,6.6,2050.0,760.0,0.0,110.0,2920.0
xb,6.65,770.0,110.0,0.0,40.0,920.0
xb,6.7,2320.0,210.0,0.0,100.0,2630.0
xb,6.8,550.0,170.0,0.0,10.0,730.0
xb,6.85,60.0,20.0,0.0,0.0,80.0
xb,6.9,3330.0,1080.0,0.0,150.0,4560.0
xb,7.0,1340.0,500.0,0.0,50.0,1890.0
xb,7.05,190.0,50.0,0.0,10.0,250.0
xb,7.1,1850.0,740.0,10.0,90.0,2690.0
xb,7.2,2410.0,930.0,0.0,100.0,3440.0
xb,7.25,10.0,0.0,0.0,0.0,10.0
xb,7.3,2320.0,960.0,0.0,140.0,3420.0
xb,7.35,10.0,0.0,0.0,0.0,10.0
xb,7.37,360.0,110.0,0.0,20.0,490.0
xb,7.4,5420.0,1720.0,10.0,250.0,7400.0
xb,7.5,5930.0,2070.0,60.0,290.0,8350.0
xb,7.55,360.0,100.0,0.0,20.0,480.0
xb,7.6,5510.0,1550.0,10.0,290.0,7360.0
xb,7.65,260.0,80.0,0.0,10.0,350.0
xb,7.7,3610.0,1710.0,0.0,190.0,5510.0
xb,7.75,1210.0,400.0,0.0,50.0,1660.0
xb,7.8,8100.0,2890.0,150.0,420.0,11560.0
xb,7.85,980.0,300.0,10.0,40.0,1330.0
xb,7.9,4770.0,1770.0,60.0,250.0,6850.0
xb,7.95,2490.0,1450.0,40.0,180.0,4160.0
xb,8.0,9320.0,2540.0,30.0,380.0,12270.0
xb,8.05,300.0,90.0,0.0,10.0,400.0
xb,8.1,5780.0,2390.0,0.0,280.0,8450.0
xb,8.2,14730.0,4160.0,200.0,510.0,19600.0
xb,8.25,390.0,120.0,0.0,20.0,530.0
xb,8.3,8300.0,1960.0,60.0,330.0,10650.0
xb,8.37,180.0,50.0,0.0,10.0,240.0
xb,8.4,5880.0,1970.0,0.0,290.0,8140.0
xb,8.45,380.0,120.0,0.0,20.0,520.0
xb,8.5,12360.0,4720.0,110.0,670.0,17860.0
xb,8.6,13480.0,4330.0,370.0,540.0,18720.0
xb,8.65,700.0,200.0,0.0,30.0,930.0
xb,8.7,11030.0,3890.0,110.0,610.0,15640.0
xb,8.8,9510.0,2810.0,70.0,450.0,12840.0
xb,8.9,7230.0,2290.0,30.0,320.0,9870.0
xb,9.0,2910.0,890.0,0.0,130.0,3930.0
xb,9.1,6210.0,1780.0,0.0,330.0,8320.0
xb,9.2,2720.0,680.0,0.0,110.0,3510.0
xb,9.3,710.0,210.0,0.0,30.0,950.0
xb,9.5,70.0,20.0,0.0,0.0,90.0
xone,1.6,30.0,0.0,0.0,0.0,30.0
