platform,critic_score,na_sales,eu_sales,jp_sales,other_sales,total_sales
x360,88.0,21760.0,11560.0,280.0,3340.0,36940.0
x360,89.0,21880.0,6360.0,370.0,2640.0,31250.0
x360,89.33,90.0,20.0,0.0,10.0,120.0
x360,90.0,12850.0,9340.0,270.0,2280.0,24740.0
x360,91.0,16860.0,7800.0,270.0,2370.0,27300.0
x360,92.0,10910.0,3440.0,120.0,1370.0,15840.0
x360,93.0,13380.0,5100.0,350.0,1830.0,20660.0
x360,93.67,80.0,20.0,0.0,10.0,110.0
x360,94.0,31770.0,12940.0,580.0,4810.0,50100.0
x360,95.0,5110.0,2440.0,100.0,750.0,8400.0
x360,96.0,9780.0,4980.0,200.0,1570.0,16530.0
x360,97.0,9660.0,5140.0,60.0,1410.0,16270.0
x360,98.0,6760.0,3070.0,140.0,1030.0,11000.0
xb,19.0,160.0,50.0,0.0,10.0,220.0
xb,24.0,10.0,0.0,0.0,0.0,10.0
xb,25.0,80.0,20.0,0.0,0.0,100.0
xb,26.0,30.0,10.0,0.0,0.0,40.0
xb,28.0,70.0,20.0,0.0,0.0,90.0
xb,30.0,50.0,10.0,0.0,0.0,60.0
xb,31.0,30.0,10.0,0.0,0.0,40.0
xb,32.0,330.0,90.0,0.0,10.0,430.0
xb,33.0,120.0,30.0,0.0,0.0,150.0
xb,35.0,270.0,70.0,0.0,20.0,360.0
xb,36.0,50.0,10.0,0.0,0.0,60.0
xb,37.0,110.0,30.0,0.0,0.0,140.0
xb,38.0,60.0,10.0,0.0,0.0,70.0
xb,39.0,80.0,20.0,0.0,0.0,100.0
xb,40.0,150.0,40.0,0.0,10.0,200.0
xb,41.0,150.0,50.0,0.0,10.0,210.0
xb,42.0,50.0,10.0,0.0,0.0,60.0
xb,43.0,100.0,30.0,0.0,0.0,130.0
xb,44.0,430.0,120.0,0.0,10.0,560.0
xb,45.0,160.0,40.0,0.0,0.0,200.0
xb,46.0,150.0,40.0,0.0,0.0,190.0
xb,47.0,120.0,50.0,0.0,0.0,170.0
xb,48.0,450.0,120.0,60.0,10.0,640.0
xb,49.0,790.0,260.0,0.0,30.0,1080.0
xb,50.0,560.0,170.0,0.0,30.0,760.0
xb,51.0,590.0,170.0,30.0,30.0,820.0
xb,52.0,420.0,110.0,0.0,20.0,550.0
xb,53.0,730.0,200.0,0.0,30.0,960.0
xb,54.0,540.0,160.0,0.0,10.0,710.0
xb,55.0,300.0,80.0,0.0,0.0,380.0
xb,56.0,1420.0,690.0,0.0,60.0,2170.0
xb,57.0,820.0,240.0,0.0,20.0,1080.0
xb,58.0,1600.0,460.0,0.0,60.0,2120.0
xb,59.0,1890.0,510.0,0.0,110.0,2510.0
xb,60.0,860.0,260.0,0.0,20.0,1140.0
xb,61.0,4270.0,1450.0,0.0,170.0,5890.0
xb,62.0,1310.0,370.0,0.0,50.0,1730.0
xb,62.33,180.0,50.0,0.0,10.0,240.0
xb,63.0,1290.0,390.0,0.0,30.0,1710.0
xb,64.0,1030.0,270.0,0.0,40.0,1340.0
xb,64.5,350.0,100.0,0.0,20.0,470.0
xb,65.0,5720.0,2280.0,40.0,290.0,8330.0
xb,66.0,2410.0,800.0,0.0,110.0,3320.0
xb,67.0,3100.0,1600.0,50.0,190.0,4940.0
xb,68.0,5140.0,1480.0,0.0,230.0,6850.0
xb,68.5,1290.0,410.0,0.0,60.0,1760.0
xb,69.0,2310.0,670.0,30.0,70.0,3080.0
xb,69.5,70.0,20.0,0.0,0.0,90.0
xb,70.0,5750.0,2050.0,40.0,270.0,8110.0
xb,71.0,3840.0,1140.0,0.0,160.0,5140.0
xb,71.5,160.0,50.0,0.0,10.0,220.0
xb,72.0,3280.0,1350.0,0.0,180.0,4810.0
xb,72.5,250.0,70.0,0.0,10.0,330.0
xb,73.0,3650.0,1540.0,150.0,190.0,5530.0
xb,74.0,6340.0,1800.0,30.0,300.0,8470.0
xb,74.5,310.0,90.0,0.0,10.0,410.0
